product_id,brand,name,detalles,descripcion,material,color,peso,price,dimensiones,voltaje,potencia,garantia,fabricante,categoria_padre,sub_categoria,tags
B148,Well Me,Resonance L B148,"Revitaliza tu cuerpo y mente con 8 terapias de bienestar en 1 esterilla y dale a tu bienestar la atención y el cuidado que se merece hoy. Nuestra almohadilla térmica de cuerpo completo ofrece un alivio específico del dolor en todas las áreas del cuerpo, el tamaño de esta almohadilla térmica extra grande es de 148 x 66 centimetros | Características especiales: Ajustes de tiempo y temperatura, controlador de apagado automático, Almohadilla térmica infrarroja, Luces de fotones, Terapia de iones negativos calmantes, Terapia relajante con piedras calientes","WELL ME Almohadilla térmica infrarroja avanzada, elegible para FSA HSA, piedras preciosas de amatista, turmalina y jade, alfombrilla térmica con luces LED rojas, iones negativos, 72 x 24 pulgadas","Cuero Pu de Grado Médico, Piedras Preciosas de Amatista Natural, Piedras Preciosas de Jade Natural, Piedras Preciosas de Turmalina Natural",Gris,30 libras,,148 X 66 Centimetros,110-120 Voltios,200 Vatios,¡garantía de 5 Años!,Well Me,Hogar y Salud,Terapia Térmica,"terapia térmica, infrarrojo, piedras preciosas, bienestar, relajación"
B190,Well Me,Resonance Pro B190,"Revitaliza tu cuerpo y mente con 8 terapias de bienestar en 1 esterilla y dale a tu bienestar la atención y el cuidado que se merece hoy. Nuestra almohadilla térmica de cuerpo completo ofrece un alivio específico del dolor en todas las áreas del cuerpo, el tamaño de esta almohadilla térmica extra grande es de 190 x 80 centimetros | Características especiales: Ajustes de tiempo y temperatura, controlador de apagado automático, Almohadilla térmica infrarroja, Luces de fotones, Terapia de iones negativos calmantes, Terapia relajante con piedras calientes","WELL ME Almohadilla térmica infrarroja avanzada, elegible para FSA HSA, piedras preciosas de amatista, turmalina y jade, alfombrilla térmica con luces LED rojas, iones negativos, 72 x 24 pulgadas","Cuero Pu de Grado Médico, Piedras Preciosas de Amatista Natural, Piedras Preciosas de Jade Natural, Piedras Preciosas de Turmalina Natural",Gris,42 libras,,190 X 80 Centimetros,110-120 Voltios,200 Vatios,¡garantía de 5 Años!,Well Me,Hogar y Salud,Terapia Térmica,"terapia térmica, infrarrojo, piedras preciosas, bienestar, relajación"
B85,Well Me,Resonance Mini B85,"Revitaliza tu cuerpo y mente con 8 terapias de bienestar en 1 esterilla y dale a tu bienestar la atención y el cuidado que se merece hoy. Nuestra almohadilla térmica de cuerpo completo ofrece un alivio específico del dolor en todas las áreas del cuerpo, el tamaño de esta almohadilla térmica extra grande es de 85 x 47 centimetros | Características especiales: Ajustes de tiempo y temperatura, controlador de apagado automático, Almohadilla térmica infrarroja, Luces de fotones, Terapia de iones negativos calmantes, Terapia relajante con piedras calientes","WELL ME Almohadilla térmica infrarroja avanzada, elegible para FSA HSA, piedras preciosas de amatista, turmalina y jade, alfombrilla térmica con luces LED rojas, iones negativos, 72 x 24 pulgadas","Cuero Pu de Grado Médico, Piedras Preciosas de Amatista Natural, Piedras Preciosas de Jade Natural, Piedras Preciosas de Turmalina Natural",Gris,10 libras,,85 X 47 Centimetros,110-120 Voltios,200 Vatios,¡garantía de 5 Años!,Well Me,Hogar y Salud,Terapia Térmica,"terapia térmica, infrarrojo, piedras preciosas, bienestar, relajación"
CNTT9GS,Carico,Sartén Gourmet de 9”,"Cocinar saludablemente, no solo es elegir los alimentos, sino también es decidir como se preparan y en dónde se preparan.","La tecnología Ultra Tech II para cocinar saludablemente ha sido desarrollado científicamente para conducir el calor de la manera más eficiente que permite cocinar carnes sin grasa.
La forma más higiénica de cocinar es con acero quirúrgico inoxidable T316, el material más resistente y duradero del mercado.",Acero Quirúrgico Inoxidable,,2 - 4 libras,299.7,9”,No Aplica,No Aplica,Garantía Vitalicia (lifetime),Carico,Cocina,Ollas y Sartenes,"acero quirúrgico, cocina saludable, sin grasa"
CNTT9GG,Carico,Tapa Transparente para Sartén Gourmet de 9”,"Cocinar saludablemente, no solo es elegir los alimentos, sino también es decidir como se preparan y en dónde se preparan.","La tecnología Ultra Tech II para cocinar saludablemente ha sido desarrollado científicamente para conducir el calor de la manera más eficiente que permite cocinar carnes sin grasa.
La forma más higiénica de cocinar es con acero quirúrgico inoxidable T316, el material más resistente y duradero del mercado.",Acero Quirúrgico Inoxidable,,2 - 4 libras,79.33,9”,No Aplica,No Aplica,Garantía Vitalicia (lifetime),Carico,Cocina,Ollas y Sartenes,"acero quirúrgico, cocina saludable, sin grasa"
CNTT11GS,Carico,Sartén Gourmet de 11”,"Cocinar saludablemente, no solo es elegir los alimentos, sino también es decidir como se preparan y en dónde se preparan.","La tecnología Ultra Tech II para cocinar saludablemente ha sido desarrollado científicamente para conducir el calor de la manera más eficiente que permite cocinar carnes sin grasa.
La forma más higiénica de cocinar es con acero quirúrgico inoxidable T316, el material más resistente y duradero del mercado.",Acero Quirúrgico Inoxidable,,4 - 6 libras,388.11,11”,No Aplica,No Aplica,Garantía Vitalicia (lifetime),Carico,Cocina,Ollas y Sartenes,"acero quirúrgico, cocina saludable, sin grasa"
CNTT11GG,Carico,Tapa Transparente para Sartén Gourmet de 11”,"Cocinar saludablemente, no solo es elegir los alimentos, sino también es decidir como se preparan y en dónde se preparan.","La tecnología Ultra Tech II para cocinar saludablemente ha sido desarrollado científicamente para conducir el calor de la manera más eficiente que permite cocinar carnes sin grasa.
La forma más higiénica de cocinar es con acero quirúrgico inoxidable T316, el material más resistente y duradero del mercado.",Acero Quirúrgico Inoxidable,,4 - 6 libras,88.18,11”,No Aplica,No Aplica,Garantía Vitalicia (lifetime),Carico,Cocina,Ollas y Sartenes,"acero quirúrgico, cocina saludable, sin grasa"
CNTT13GS,Carico,Sartén Gourmet de 13”,"Cocinar saludablemente, no solo es elegir los alimentos, sino también es decidir como se preparan y en dónde se preparan.","La tecnología Ultra Tech II para cocinar saludablemente ha sido desarrollado científicamente para conducir el calor de la manera más eficiente que permite cocinar carnes sin grasa.
La forma más higiénica de cocinar es con acero quirúrgico inoxidable T316, el material más resistente y duradero del mercado.",Acero Quirúrgico Inoxidable,,4 - 6 libras,537.94,13”,No Aplica,No Aplica,Garantía Vitalicia (lifetime),Carico,Cocina,Ollas y Sartenes,"acero quirúrgico, cocina saludable, sin grasa"
CNTT13GG,Carico,Tapa Transparente para Sartén Gourmet de 13”,"Cocinar saludablemente, no solo es elegir los alimentos, sino también es decidir como se preparan y en dónde se preparan.","La tecnología Ultra Tech II para cocinar saludablemente ha sido desarrollado científicamente para conducir el calor de la manera más eficiente que permite cocinar carnes sin grasa.
La forma más higiénica de cocinar es con acero quirúrgico inoxidable T316, el material más resistente y duradero del mercado.",Acero Quirúrgico Inoxidable,,4 - 6 libras,97.11,13”,No Aplica,No Aplica,Garantía Vitalicia (lifetime),Carico,Cocina,Ollas y Sartenes,"acero quirúrgico, cocina saludable, sin grasa"
CNTT1QN,Carico,Olla de 1 Cuarto con Tapa Ultra Temp,"Cocinar saludablemente, no solo es elegir los alimentos, sino también es decidir como se preparan y en dónde se preparan.","La tecnología Ultra Tech II para cocinar saludablemente ha sido desarrollado científicamente para conducir el calor de la manera más eficiente que permite cocinar carnes sin grasa.
La forma más higiénica de cocinar es con acero quirúrgico inoxidable T316, el material más resistente y duradero del mercado.",Acero Quirúrgico Inoxidable,,2 - 4 libras,475.95,1 Cuarto,No Aplica,No Aplica,Garantía Vitalicia (lifetime),Carico,Cocina,Ollas y Sartenes,"acero quirúrgico, cocina saludable, sin grasa"
